CCN,COMP_ITEM_ID,COMMODITY,LEAD_TIME,CFG,ITM_DESC,CHANNEL_ID,PRODUCT_ID,PRODUCT_NAME,SCHEDULER_NAME,DMND_WEEK_STRT_DATE,VRSN_WEEK_STRT_DATE,MRP_FCST_QTY,SUPPLY_CHAIN_TYPE,DW_PKG_UPD_DTS
M10000,DKC2X,ODD,13,RMSD_9_5_DVD_SATA_Bare_Std,"DVD,8X,SATA,9.5T,DU90N,HLDS",5000004,57368,FIGTREECTO,NORMAWARZURA_MAT (RMSD_APJ),10-10-2015,10-10-2015,0,CTO,51:30.0
DAO,9GTFM,ODM Mechanical,13,9GTFM_CFG,"ASSY,CMRA,9343",1865,61590,DINO2BTX,BTX_XPS_NOTEBOOKS,19-12-2015,17-10-2015,78,BTO,02:40.4
E10000,GKM4Y,ODD Mechanical,13,GKM4Y_SCR,"SCR,M2X5,FLH,MSCR,CS,E6320",2190,62856,PARKCITY15BTX,BTX_LATITUDE,05-03-2016,19-12-2015,642,BTO,02:40.4
C40000,FW1MN,Battery,13,OAK14/15_4_2.8_PRIMARY,"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000948,55725,CEDAR15HSWBTX,BTX_PERSONAL_NOTEBOOKS,17-09-2016,07-11-2015,0,BTO,02:40.4
C40000,9RRC7,MOUSE,8,MSE_ENTRY_OPTICAL_INDIGO_POS,"KIT,MSE,USB,POS,LOGI,MS111",5000947,54265,GENERAL SFF BTX,BTX_PERSONAL_DESKTOPS,30-04-2016,02-01-2016,0,BTS,21:42.6
DAO,VN3N0,Battery,13,Iris/Tulip/VG14/Loveland_15_17_4_2.8_PRIMARY,"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,TULIP15BDWBTX,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8
E10000,G1XNT,HDD_NB_DT,8,HDD_1TB_SATA_6G_DT,"HD,1TB,S3,7.2K,512E,SGT-GRDABP",2190,54358,GREATBEAR MT BTX,BTX_VOSTRO_DESKTOPS,18-06-2016,06-02-2016,24,BTO,57:56.9
E10000,8CFJ3,LCD,15,15.6HD_AG_ULSLIM_E7_NBLCD,"LCD,15.6HD,HC,EDP,AUO",2190,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,07-01-2017,16-04-2016,0,BTS,46:40.9
I10000,FHKK7,ODM Mechanical,13,Camera_NB HD 2x mic E6 FHKK7,"ASSY,CMRA,HD,0.92M,W/MIC",5000236,57527,HOUSTON15CTO,PHOAY_HOON_TAN (LATI LCD),26-12-2015,09-01-2016,232,CTO,13:36.0
C40000,2T530,CORD,10,PWr_CORD_2T530,"KIT,CORD,ADPT,PWR,125V,JPN",5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,16-01-2016,21-11-2015,0,BTS,02:40.4
C40000,9RRC7,MOUSE,8,MSE_ENTRY_OPTICAL_INDIGO_POS,"KIT,MSE,USB,POS,LOGI,MS111",5000947,54265,GENERAL SFF BTX,BTX_PERSONAL_DESKTOPS,30-04-2016,02-01-2016,0,BTS,21:42.6
DAO,DR9J8,Wireless,8,CRD_WRLES_DW1602_MCRD,"CRD,WRLES,DW1601,A2,HMC,FXCN",1865,53301,DIESEL15GREYFED,CHEE_KEAT_CHONG(WIRELESS_RELATIONSHIPNB),04-06-2016,13-02-2016,0,CTO,57:56.9
E10000,JDX5Y,ODM Mechanical,13,"JDX5Y-KIT,CVR,BZL,HNG,N-TCH,WW,LL14","KIT,CVR,BZL,HNG,N-TCH,WW,LL14",2190,62878,LOVELAND14BCTO,KATARINA_HUDECOVA_COMMERICAL_NOTEBOOKS,03-09-2016,02-04-2016,69,CTO,56:43.7
M10000,3JYCT,SSD_NB_DT,8,SSD_NB_FULL_MINI_1TB_SATA,"SSDR,1TB,S3,MCARD,SMSNG,PM851",30000,56151,MAGELLAN14CTO,CHOON_PHENG_OOI,24-09-2016,23-04-2016,0,CTO,59:38.0
DAO,K260C,CORD,10,CABLE-K260C,"CORD,PWR,125V,2.5A,1M,C5,US",1865,60149,TULIP14SKLBTX,BTX_PERSONAL_NOTEBOOKS,05-11-2016,16-04-2016,0,BTS,46:40.9
C40000,2T530,CORD,10,PWr_CORD_2T530,"KIT,CORD,ADPT,PWR,125V,JPN",5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,16-01-2016,21-11-2015,0,BTS,02:40.4
C40000,0W8GP,Keyboard_NBK,17,"NBKYBD_KYBD,106,TCHI,M14IXFP","KYBD,106,TCHI,M14IXFP",5001417,62857,PARKCITY15CTO,ELISE_TAN (NBK_KYBD),28-05-2016,14-11-2015,1,CTO,02:40.4
C10000,8DY07,ODM Mechanical,13,"8DY07-HNG,CAP,LT,N-TCH,E7270","HNG,CAP,LT,N-TCH,E7270",5000960,62904,BEAVERCREEK12BTX,BTX_LATITUDE,07-01-2017,26-03-2016,15,BTO,21:48.5
C40000,9CF26,HDD_NB_DT,8,HDD_500GB_SATA_6G_DT,"HD,500G,S3,7.2K,512E,SGT-PHAR",5000947,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,14-05-2016,26-12-2015,21,BTS,21:42.6
C10000,GRY5H,Nic Card,22,GRY5H_CFG,"ASSY,PWA,I/O,PS2/COM,FH,FGR",5000960,54095,TIGRIS MT,SERENA_YANG,29-04-2017,23-04-2016,0,CTO,59:38.0
E10000,0KX1F,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,"HD,500G,S3,7.2,512E,7MM,ST,YRX",2190,62420,BLUEFINAIOBTX,BTX_OPTIPLEX_DESKTOPS,16-07-2016,14-05-2016,13,BTP,32:44.2
C10000,RX60J,LCD,15,"RX60J-ASSY,LCD,LG,N-TCH,3048","ASSY,LCD,LG,N-TCH,3048",5000960,55271,CASPIANBTX,BTX_PERSONAL_DESKTOPS,02-07-2016,05-12-2015,0,BTO,02:40.4
C40000,NWMX1,Memory,13,MEM_SODIMM_DDR3L_1600_4GB,"DIMM,4GB,1600,1RX8,4G,DDR3L,S",5000947,60705,VANGOGH15BDWBTX,BTX_VOSTRO_NOTEBOOKS,03-12-2016,23-04-2016,0,BTS,59:38.0
M10000,KTCCN,Battery,13,Belmont_3_Thin_Pris,"BTRY,PRI,43WHR,3C,LITH,LGC",5000004,59515,BELMONTBTX,BTX_CHROME,07-01-2017,20-02-2016,1,BTO,57:56.9
M10000,GNXH5,ODM Mechanical,13,Camera_NB HD 2x mic als GNXH5 Redwood-Cottonwood,"ASSY,CMRA,720P,1M,MDRL,3147",5000005,61239,REDWOODMLKBSWBTX,HANNAH_H,09-07-2016,16-04-2016,0,CTO,46:40.9
C10000,739XR,Memory,13,MEM_ECC_SODIMM_DDR4_2133_16GB,"DIMM,16GB,2133,2RX8,8G,DDR4,ES",30000,63039,PARKCITY-P15CTO,QUEENNIE_SAW (MEMNBK),30-01-2016,02-01-2016,0,CTO,21:42.6
C10000,MHK36,Wireless,8,CRD_WRLES_M.2_3165AC,"CRD,WRLES,M.2,3165",5000960,63886,PANDORA15SKLBTX,BTX_PERSONAL_NOTEBOOKS,22-10-2016,05-03-2016,709,BTO,46:25.9
C40000,KRHNW,Docking,8,KRHNW,"ASSY,CHAS,DOCKING-SPACE,LAT,N",5000947,57521,HOUSTON14CTO,MAGGIE_ZHONG,19-12-2015,14-11-2015,19,CTO,02:40.4
M10000,VGXRN,SSD_NB_DT,8,SSD_NB_FULL_MINI_512GB_SATA,"SSDR,512,S3,MCARD,HYNIX,SC300",5000945,199,PARTS,CHOON_PHENG_OOI,01-04-2017,07-05-2016,1,CTO,32:44.2
C40000,2T530,CORD,10,PWr_CORD_2T530,"KIT,CORD,ADPT,PWR,125V,JPN",5000947,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,16-01-2016,21-11-2015,0,BTS,02:40.4
DAO,75KKT,ODM Mechanical,13,"75KKT-HNG,CAP,RT,N-TCH,E7270","HNG,CAP,RT,N-TCH,E7270",1865,62904,BEAVERCREEK12BTX,BTX_LATITUDE,26-12-2015,16-01-2016,0,BTO,14:57.8
